key	A07889	A10853	A1448A	A26002	A41a	A9	Alf3	B301DR	B48	BRIP34876	CC1458	CC1513	CC1630	CC440	CC94	CFBP1657	CFBP3846	DC3000	DSM50255	ES4326	HRIW7872	ICMP16944	ICMP18417	ICMP2814	ICMP2855	ICMP4116	ICMP4303	ICMP4917	ICMP5027	ICMP8960	ISPaVe013	NCPPB2598	NP29	P21	P89	PA459	PP1
CC1630	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886	1886
CC440	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977	1977
CC94	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784	1784
CFBP1657	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950
CFBP3846	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164	2164
DC3000	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178	2178
DSM50255	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680	1680
ES4326	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199	2199
HRIW7872	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932	1932
ICMP16944	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761	1761
ICMP18417	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945	1945
ICMP2814	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929	1929
ICMP2855	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995	1995
ICMP4116	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952
ICMP4303	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952	1952
ICMP4917	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877	1877
ICMP5027	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651	1651
ICMP8960	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890	1890
ISPaVe013	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006	2006
NCPPB2598	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844	1844
NP29	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997	1997
P21	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074	2074
P89	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041	2041
PA459	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998	1998
PP1	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012
